,EEE
1054,-150
1055,-126
1056,-154
1057,-154
1058,-110
1059,-126
1060,-118
1061,-134
1062,-110
1063,-126
1064,-118
1065,-130
1066,-126
1067,-122
1068,-114
1069,-150
1070,-138
1071,-122
1072,-118
1073,-142
1074,-134
1075,-142
1076,-126
1077,-154
1078,-130
1079,-138
1080,-142
1081,-134
1082,-126
1083,-150
1084,-122
1085,-118
1086,-150
1087,-126
1088,-130
1089,-130
1090,-130
1091,-122
1092,-126
1093,-162
1094,-150
1095,-138
1096,-122
1097,-150
1098,-154
1099,-130
1100,-174
1101,-138
1102,-118
1103,-130
1104,-154
1105,-138
1106,-130
1107,-134
1108,-126
1109,-122
1110,-134
1111,-118
1112,-134
1113,-130
1114,-134
1115,-134
1116,-130
1117,-142
1118,-126
1119,-122
1120,-110
1121,-162
1122,-122
1123,-166
1124,-118
1125,-122
1126,-134
1127,-142
1128,-130
1129,-122
1130,-154
1131,-118
1132,-134
1133,-150
1134,-138
1135,-126
1136,-130
1137,-138
1138,-138
1139,-122
1140,-122
1141,-122
1142,-142
1143,-122
1144,-138
1145,-138
1146,-122
1147,-126
1148,-142
1149,-130
1150,-130
1151,-142
1152,-162
1153,-146
1154,-154
1155,-118
1156,-134
1157,-154
1158,-106
1159,-134
1160,-138
1161,-150
1162,-134
1163,-130
1164,-130
1165,-134
1166,-130
1167,-150
1168,-134
1169,-130
1170,-118
1171,-130
1172,-138
1173,-126
1174,-110
1175,-138
1176,-126
1177,-158
1178,-118
1179,-142
1180,-138
1181,-142
1182,-130
1183,-134
1184,-142
1185,-134
1186,-114
1187,-126
1188,-134
1189,-134
1190,-138
1191,-150
1192,-126
1193,-122
1194,-158
1195,-126
1196,-154
1197,-122
1198,-134
1199,-130
1200,-142
1201,-126
1202,-134
1203,-126
1204,-118
1205,-110
1206,-134
1207,-130
1208,-154
1209,-134
1210,-130
1211,-134
1212,-114
1213,-162
1214,-114
1215,-134
1216,-150
1217,-146
1218,-182
1219,-130
1220,-130
1221,-126
1222,-134
1223,-146
1224,-138
1225,-134
1226,-130
1227,-150
1228,-126
1229,-130
1230,-130
1231,-118
1232,-106
1233,-138
1234,-138
1235,-138
1236,-142
1237,-122
1238,-130
1239,-134
1240,-146
1241,-138
1242,-158
1243,-134
1244,-146
1245,-142
1246,-158
1247,-130
1248,-134
1249,-150
1250,-126
1251,-126
1252,-154
1253,-134
1254,-134
1255,-138
1256,-118
1257,-118
1258,-134
1259,-114
1260,-122
1261,-130
1262,-130
1263,-130
1264,-110
1265,-122
1266,-126
1267,-126
1268,-162
1269,-130
1270,-130
1271,-150
1272,-134
1273,-154
1274,-114
1275,-134
1276,-122
1277,-134
1278,-158
1279,-134
1280,-134
1281,-134
1282,-122
1283,-138
1284,-118
1285,-118
1286,-126
1287,-126
1288,-166
1289,-130
1290,-130
1291,-138
1292,-130
1293,-130
1294,-110
1295,-114
1296,-154
1297,-122
1298,-126
1299,-130
1300,-130
1301,-130
1302,-142
1303,-122
1304,-114
1305,-126
1306,-110
1307,-134
1308,-126
1309,-114
1310,-110
1311,-154
1312,-146
1313,-106
1314,-146
1315,-142
1316,-142
1317,-122
1318,-118
1319,-126
1320,-134
1321,-166
1322,-130
1323,-134
1324,-134
1325,-158
1326,-114
1327,-110
1328,-114
1329,-134
1330,-134
1331,-126
1332,-126
1333,-126
1334,-126
1335,-122
1336,-134
1337,-146
1338,-146
1339,-142
1340,-118
1341,-142
1342,-122
1343,-126
1344,-134
1345,-126
1346,-118
1347,-122
1348,-118
1349,-126
1350,-110
1351,-158
1352,-146
1353,-130
1354,-126
1355,-146
1356,-174
1357,-118
1358,-130
1359,-118
1360,-130
1361,-138
1362,-122
1363,-162
1364,-118
1365,-130
1366,-162
1367,-134
1368,-138
1369,-122
1370,-130
1371,-122
1372,-134
1373,-138
1374,-126
1375,-146
1376,-122
1377,-158
1378,-114
1379,-134
1380,-138
1381,-146
1382,-134
1383,-146
1384,-130
1385,-146
1386,-146
1387,-146
1388,-126
1389,-126
1390,-154
1391,-134
1392,-122
1393,-126
1394,-142
1395,-130
1396,-158
1397,-134
1398,-138
1399,-142
1400,-130
1401,-130
1402,-110
1403,-162
1404,-142
1405,-114
1406,-166
1407,-130
1408,-138
1409,-134
1410,-158
1411,-134
1412,-146
1413,-126
1414,-174
1415,-126
1416,-150
1417,-166
1418,-134
1419,-134
1420,-134
1421,-134
1422,-138
1423,-122
1424,-122
1425,-114
1426,-118
1427,-134
1428,-134
1429,-114
1430,-114
1431,-134
1432,-118
1433,-134
1434,-134
1435,-130
1436,-134
1437,-138
1438,-114
1439,-158
1440,-126
1441,-122
1442,-138
1443,-118
1444,-122
1445,-118
1446,-142
1447,-138
1448,-142
1449,-122
1450,-114
1451,-182
1452,-122
1453,-150
1454,-118
1455,-142
1456,-134
1457,-126
1458,-126
1459,-114
1460,-154
1461,-126
1462,-110
1463,-130
1464,-122
1465,-122
1466,-126
1467,-126
1468,-138
1469,-110
1470,-126
1471,-114
1472,-118
1473,-130
1474,-138
1475,-174
1476,-134
1477,-126
1478,-122
1479,-114
1480,-142
1481,-138
1482,-146
1483,-122
1484,-126
1485,-134
1486,-134
1487,-166
1488,-114
1489,-114
1490,-122
1491,-134
1492,-138
1493,-130
1494,-126
1495,-122
1496,-110
1497,-138
1498,-130
1499,-162
